,area,title,community,position,tax,total_price,unit_price,hhid,link,hourseType,hourseSize,direction,fitment,level,buildTime
0,浦东,40平DIY阁楼，楼下实际使用面积63.9平，双南双阳台,潍坊二村,潍坊,房本满五年,468.0,77101.0,107107955642,https://sh.lianjia.com/ershoufang/107107955642.html,2室1厅,60.7,南,精装,高楼层(共6层),1979年
1,浦东,临港一年社保可买 电梯三房  尚师大,海汇清波苑,临港新城,房本满五年,139.0,13252.0,107109042399,https://sh.lianjia.com/ershoufang/107109042399.html,3室1厅,104.89,南,精装,中楼层(共11层),2008年
2,浦东,次新小区，电梯小高层，清水毛坯，双南飞机户型有钥匙,民乐城颐康名苑,惠南,,169.0,22305.0,107107632822,https://sh.lianjia.com/ershoufang/107107632822.html,2室2厅,75.77,南,毛坯,高楼层(共18层),2019年
3,浦东,前滩CBD+恒大社区+示范小区+人工湖+南北通+花园,恒大华城上河苑,杨思前滩,房本满五年,615.0,72902.0,107109106863,https://sh.lianjia.com/ershoufang/107109106863.html,2室2厅,84.36,南 北,简装,低楼层(共6层),2001年
4,浦东,富特三村 2室1厅 南,富特三村,外高桥,房本满五年,250.0,43745.0,107109501802,https://sh.lianjia.com/ershoufang/107109501802.html,2室1厅,57.15,南,精装,高楼层(共6层),1994年
5,浦东,南北直通户型，四个房间，看房方便，欢迎咨询,万邦都市花园,花木,房本满五年,1255.0,82317.0,107106902754,https://sh.lianjia.com/ershoufang/107106902754.html,4室2厅,152.46,南,毛坯,中楼层(共14层),2004年
6,浦东,4/14号线双轨交汇 建平西校 业主诚售 看房方便,梅园一街坊,梅园,房本满五年,330.0,87210.0,107109269804,https://sh.lianjia.com/ershoufang/107109269804.html,1室1厅,37.84,南,精装,中楼层(共6层),1984年
7,浦东,⭐⭐⭐⭐⭐荐：丽都成品大2房，文峰+3轨交+近森兰社区,丽都成品,金桥,,560.0,66755.0,107109681599,https://sh.lianjia.com/ershoufang/107109681599.html,2室2厅,83.89,南,精装,高楼层(共18层),2005年
8,浦东,急售！急售！楼层好！户型好！！！！,金桥新村一街坊,金桥,,293.0,42232.0,107108550410,https://sh.lianjia.com/ershoufang/107108550410.html,2室1厅,69.38,南,简装,低楼层(共6层),1994年
9,浦东,满五年，全明户型，视野开阔，采光充足，诚意出售,开发浦东,潍坊,房本满五年,485.0,63507.0,107109399750,https://sh.lianjia.com/ershoufang/107109399750.html,2室1厅,76.37,南,简装,高楼层(共25层),1987年
10,浦东,2012年新房龄 南北通透户型方正 业主诚心出售,海霞佳苑,川沙,房本满五年,248.0,29805.0,107108307094,https://sh.lianjia.com/ershoufang/107108307094.html,2室2厅,83.21,南 北,精装,低楼层(共6层),2012年
11,浦东,非顶层、采光好、居住舒适、交通便利、诚意急卖！！！,龙沟新苑,北蔡,房本满五年,255.0,51422.0,107108841520,https://sh.lianjia.com/ershoufang/107108841520.html,1室1厅,49.59,南,精装,高楼层(共6层),2005年
12,浦东,张江南 周浦东16号线 精致电梯一房一手动迁满五年,汇福家园兴盛里北,周浦,房本满五年,170.0,30004.0,107109560521,https://sh.lianjia.com/ershoufang/107109560521.html,1室1厅,56.66,南,毛坯,低楼层(共18层),2014年
13,浦东,海尚东苑 3室2厅 南,海尚东苑,曹路,房本满五年,488.0,41961.0,107109621847,https://sh.lianjia.com/ershoufang/107109621847.html,3室2厅,116.3,南,毛坯,低楼层(共18层),2011年
14,浦东,税少配套优采光好视野开阔南北通物业优,陆家嘴花园(一期),源深,房本满五年,1318.0,108710.0,107108881025,https://sh.lianjia.com/ershoufang/107108881025.html,3室2厅,121.24,南,简装,中楼层(共12层),1999年
15,浦东,次新小区 精美装修 理想中的未来小家,民乐城荣春苑北苑,惠南,,199.0,26805.0,107109155453,https://sh.lianjia.com/ershoufang/107109155453.html,2室1厅,74.24,南,精装,中楼层(共18层),暂无数据
16,浦东,满五年，税费少，高楼层，采光佳，业主诚意,梅园三街坊,梅园,房本满五年,395.0,132640.0,107109720167,https://sh.lianjia.com/ershoufang/107109720167.html,1室0厅,29.78,南,简装,高楼层(共6层),1985年
