,area,title,community,position,tax,total_price,unit_price,hhid,link,hourseType,hourseSize,direction,fitment,level,buildTime
0,浦东,店长推荐 大两房 中楼层 比来比去还是这套更便宜,莎海惠晨苑,惠南,房本满五年,249.0,25193.0,107108334653,https://sh.lianjia.com/ershoufang/107108334653.html,2室2厅,98.84,南 北,简装,中楼层(共6层),2006年
1,浦东,精装复式大面积，税费各付，品质小区一梯一户，好看房,布鲁斯小镇(绿地·皇家官邸),惠南,,445.0,16935.0,107108181470,https://sh.lianjia.com/ershoufang/107108181470.html,3室2厅,262.77,南,精装,低楼层(共18层),2013年
2,浦东,周浦镇*，大三房精装修。。。。。。。。。。。。。,欣周花园,周浦,,328.0,37911.0,107107123336,https://sh.lianjia.com/ershoufang/107107123336.html,3室1厅,86.52,南,精装,低楼层(共6层),1998年
3,浦东,园林式小区，近地铁，业主打新，价格好谈,住友名人花园,金杨,房本满五年,700.0,74707.0,107108413890,https://sh.lianjia.com/ershoufang/107108413890.html,2室2厅,93.7,南,简装,低楼层(共6层),2000年
4,浦东,16年次新房  新出高区毛坯两房，从未入住，有钥匙,东旭雅苑,高行,,390.0,54424.0,107108394271,https://sh.lianjia.com/ershoufang/107108394271.html,2室1厅,71.66,南,毛坯,高楼层(共14层),2015年
5,浦东,户型好。一梯两户得房率高，小区位置好，楼层好,银丰苑,曹路,房本满五年,240.0,43267.0,107108417979,https://sh.lianjia.com/ershoufang/107108417979.html,1室1厅,55.47,南,毛坯,中楼层(共6层),2007年
6,浦东,仅在链家出售！！楼皇位置！钻石楼层！精装修保养好！,中冶尚城,高行,,799.0,89095.0,107108420711,https://sh.lianjia.com/ershoufang/107108420711.html,3室2厅,89.68,南,精装,高楼层(共11层),2010年
7,浦东,高楼层+全南三房+11年纯商品房+低总价,中海御景熙岸(公寓),三林,,565.0,63907.0,107108278177,https://sh.lianjia.com/ershoufang/107108278177.html,3室2厅,88.41,南,精装,18层,2011年
8,浦东,业主急售+模范仲学 6、9号地铁金桥公园 蝴蝶南北户型,碧云新天地(一期),金桥,房本满五年,790.0,73770.0,107108405432,https://sh.lianjia.com/ershoufang/107108405432.html,2室2厅,107.09,南,精装,高楼层(共6层),2002年
9,浦东,地铁2房，好楼层，好地段，房东诚心卖，看房随时,界龙花苑,川沙,房本满五年,310.0,42589.0,107108419512,https://sh.lianjia.com/ershoufang/107108419512.html,2室1厅,72.79,南,简装,中楼层(共6层),1993年
10,浦东,园林社区经典一房、管家式服务、视野开阔、,第五大道,洋泾,房本满五年,715.0,107245.0,107108425617,https://sh.lianjia.com/ershoufang/107108425617.html,1室2厅,66.67,南,简装,高楼层(共16层),2003年
11,浦东,一手动迁 小区花园位置 视野开阔 户型方正 看房随时,川杨新苑(四期),张江,房本满五年,319.0,55809.0,107108429545,https://sh.lianjia.com/ershoufang/107108429545.html,2室1厅,57.16,南,简装,高楼层(共6层),2010年
12,浦东,本月必卖，满五年，纯毛坯，上师附，临港3.1一年可买,临港海滨国际花园,临港新城,房本满五年,105.0,13696.0,107108445840,https://sh.lianjia.com/ershoufang/107108445840.html,2室1厅,76.67,南,毛坯,低楼层(共7层),2011年
13,浦东,置换急售！！南北通，采光充足，阁楼+露台+车库,听潮民乐苑,惠南,房本满五年,285.0,29700.0,107108416212,https://sh.lianjia.com/ershoufang/107108416212.html,3室1厅,95.96,南,毛坯,高楼层(共5层),2002年
14,浦东,地铁口 高区看江 房东诚意卖  满五有车位 配套成熟,环球广场,梅园,房本满五年,970.0,57721.0,107108411358,https://sh.lianjia.com/ershoufang/107108411358.html,3室2厅,168.05,北,简装,高楼层(共33层),1996年
