,area,title,community,position,tax,total_price,unit_price,hhid,link,hourseType,hourseSize,direction,fitment,level,buildTime
0,浦东,双南两房诚意售，动迁税费少，中高楼层，位置环境优,依水园一期,三林,房本满五年,329.0,48177.0,107105926100,https://sh.lianjia.com/ershoufang/107105926100.html,2室1厅,68.29,南,毛坯,高楼层(共33层),2012年
1,浦东,满堂北区，精装1房，中区楼层，有钥匙看房方便,锦绣满堂北区,杨东,房本满五年,498.0,87292.0,107108923560,https://sh.lianjia.com/ershoufang/107108923560.html,1室1厅,57.05,南,精装,中楼层(共21层),2006年
2,浦东,金泽苑商品房小区，大三房，满五年，中间楼层 采光好,金泽苑,金桥,房本满五年,655.0,55807.0,107106822418,https://sh.lianjia.com/ershoufang/107106822418.html,3室2厅,117.37,南,精装,中楼层(共6层),1999年
3,浦东,康桥张江前滩+固定车位+别墅区低密度+均价便宜+地铁近,绿缘别墅,康桥,房本满五年,567.0,48888.0,107107071986,https://sh.lianjia.com/ershoufang/107107071986.html,3室2厅,115.98,南 北,精装,中楼层(共5层),2001年
4,浦东,19街区楼安静位置大三房，带30平大花园,大华锦绣华城(十九街区)(公寓),北蔡,房本满五年,988.0,73240.0,107109725888,https://sh.lianjia.com/ershoufang/107109725888.html,3室2厅,134.9,南 北,精装,低楼层(共15层),2003年
5,浦东,杨思前滩标杆社区+近地铁8号线+医院商场公园配套齐全,申江豪城,杨思前滩,房本满五年,738.0,70340.0,107109807853,https://sh.lianjia.com/ershoufang/107109807853.html,2室2厅,104.92,南 北,精装,11层,2004年
6,浦东,2015年次新房，稀有位置，人车分流，内环旁，配套齐全,凯德莲公馆,南码头,房本满五年,1550.0,108834.0,107109533758,https://sh.lianjia.com/ershoufang/107109533758.html,3室2厅,142.42,南 北,精装,中楼层(共16层),2015年
7,浦东,次次顶楼，朝南高区视野好，无遮挡，诚意出售价格可谈,申金大厦,陆家嘴,房本满五年,1300.0,77051.0,107106458090,https://sh.lianjia.com/ershoufang/107106458090.html,4室2厅,168.72,南,精装,高楼层(共35层),1999年
8,浦东,欣春苑  南北通两房  适合宜居   业主急售,欣春苑,宣桥,,186.0,19520.0,107109010149,https://sh.lianjia.com/ershoufang/107109010149.html,2室2厅,95.29,南,简装,高楼层(共11层),2009年
9,浦东,18号线 多层复式.满五年   实用面积大  业主诚售,美林小城,康桥,房本满五年,498.0,46717.0,107109540311,https://sh.lianjia.com/ershoufang/107109540311.html,3室2厅,106.6,南,简装,高楼层(共6层),2006年
10,浦东,金桥2005年电梯房  门口公交站  还有21号线规划,长岛公寓,金桥,房本满五年,326.0,41266.0,107109435554,https://sh.lianjia.com/ershoufang/107109435554.html,2室2厅,79.0,西南,精装,低楼层(共24层),2000年
11,浦东,浦东三林+精装高区+业主诚售+户型通透,绿地香颂(浦东)(公寓),三林,,589.0,65336.0,107109350420,https://sh.lianjia.com/ershoufang/107109350420.html,3室2厅,90.15,南,精装,18层,2011年
12,浦东,便宜的怀疑人生！单价1.6万!中间楼层！三房朝南近地铁,东门路48号,惠南,房本满五年,168.0,16394.0,107108053456,https://sh.lianjia.com/ershoufang/107108053456.html,3室2厅,102.48,南 北,简装,中楼层(共5层),1997年
13,浦东,价格可谈，楼层好，安静位置，采光好，可做3,大唐盛世花园(三期),花木,房本满五年,1359.0,122809.0,107109403458,https://sh.lianjia.com/ershoufang/107109403458.html,2室2厅,110.66,南,精装,低楼层(共11层),2008年
14,浦东,此房满五年税费少，采光好，户型方正，总价单价低,菊园,陆家嘴,房本满五年,1200.0,95947.0,107106794696,https://sh.lianjia.com/ershoufang/107106794696.html,3室2厅,125.07,南,精装,低楼层(共32层),2000年
15,浦东,南北直通，少有的双卫，全明，满五年业主诚意，有钥匙,第九城市(一期),联洋,房本满五年,1520.0,116654.0,107107883410,https://sh.lianjia.com/ershoufang/107107883410.html,3室2厅,130.3,南,简装,中楼层(共20层),2004年
16,浦东,满五年，税费低，户型通透明亮，装修保养好,临沂七村,南码头,房本满五年,250.0,48469.0,107109947567,https://sh.lianjia.com/ershoufang/107109947567.html,2室1厅,51.58,南 北,精装,高楼层(共6层),1990年
17,浦东,一楼带花园，7号先芳华路站几百米，诚意出售,和平小区(浦东),北蔡,,270.0,44829.0,107107888874,https://sh.lianjia.com/ershoufang/107107888874.html,2室1厅,60.23,南 北,简装,低楼层(共6层),1994年
