,area,title,community,position,tax,total_price,unit_price,hhid,link,hourseType,hourseSize,direction,fitment,level,buildTime
28,双井,总部公yu二期 满五唯一 南北三居室 一梯两户,CBD总部公寓二期,双井,房本满五年,1320.0,98877.0,101116962288,https://bj.lianjia.com/ershoufang/101116962288.html,3室2厅,133.5,南 北,精装,13层,2004年建
29,双井,70年商品房 满五唯一 高层西北向 国贸景色 诚意出售,苹果社区北区,双井,房本满五年,628.0,66029.0,101117264787,https://bj.lianjia.com/ershoufang/101117264787.html,2室2厅,95.11,西北,简装,33层,塔楼
30,双井,高层观花园南向两居室 主卧带独立明卫，满五年唯一,苹果社区南区,双井,房本满五年,1020.0,91333.0,101115728047,https://bj.lianjia.com/ershoufang/101115728047.html,2室1厅,111.68,东南,精装,27层,2005年建
31,双井,富力城观景三居 眼镜户型满五唯一 价格可谈,富力城A区,双井,房本满五年,1450.0,107122.0,101117040720,https://bj.lianjia.com/ershoufang/101117040720.html,3室1厅,135.36,西南,精装,18层,2004年建
32,双井,东三环 双井苹果社区 满五年唯一 双卫两居 观花园,苹果社区南区,双井,房本满五年,1015.0,92433.0,101116219894,https://bj.lianjia.com/ershoufang/101116219894.html,2室1厅,109.81,南,精装,27层,2005年建
33,双井,浪漫首城 全南两居带储物间 12年年底交房 主卧带飘窗,首城国际B区,双井,,980.0,109011.0,101117077657,https://bj.lianjia.com/ershoufang/101117077657.html,2室1厅,89.9,南,精装,中楼层(共28层),2011年建
34,双井,正看花园 不临街 高层满五年唯一南向两居 急售,首城国际B区,双井,房本满五年,969.0,109405.0,101116954307,https://bj.lianjia.com/ershoufang/101116954307.html,2室1厅,88.57,南,简装,高楼层(共28层),2010年建
35,双井,苹果北区南向开间 净挑高3米  满五唯一 随时看房,苹果社区北区,双井,房本满五年,352.0,59500.0,101116054834,https://bj.lianjia.com/ershoufang/101116054834.html,1室0厅,59.16,南,精装,21层,塔楼
36,双井,双井北里 正规一居室 南向有阳台 满五年,双井北里,双井,房本满五年,320.0,65655.0,101114678763,https://bj.lianjia.com/ershoufang/101114678763.html,1室1厅,48.74,南,精装,低楼层(共16层),1986年建
37,双井,国贸双井 双花园南里小区 南北通透三居室,双花园南里,双井,,380.0,59787.0,101110615945,https://bj.lianjia.com/ershoufang/101110615945.html,3室1厅,63.56,南 北,简装,高楼层(共6层),1981年建
38,双井,首城国际B区 中间层 无遮挡 不临街 23年3月满二给周期,首城国际B区,双井,,929.0,105966.0,101117098348,https://bj.lianjia.com/ershoufang/101117098348.html,2室1厅,87.67,南,精装,低楼层(共27层),2010年建
39,双井,东三环，双井，国贸，双花园南里小区，中间层南北两居,双花园南里,双井,,320.0,63631.0,101115740434,https://bj.lianjia.com/ershoufang/101115740434.html,2室1厅,50.29,南 北,毛坯,中楼层(共6层),1980年建
40,双井,东三环边上南向房源业主诚意出售,双花园南里,双井,,263.0,65489.0,101112673016,https://bj.lianjia.com/ershoufang/101112673016.html,1室1厅,40.16,南,简装,中楼层(共6层),1993年建
41,双井,首城国际B区 西南向两居室 中间层观景,首城国际B区,双井,,946.0,109975.0,101116149171,https://bj.lianjia.com/ershoufang/101116149171.html,2室2厅,86.02,南 西,简装,中楼层(共27层),2010年建
